leaf_id,category,is_healthy,area,perimeter,hull_area,convexity,compactness,major_axis,minor_axis,aspect_ratio
1-1 _ Leaf 9,healthy,1,1183132.5,10032.139841198921,1366028.0,0.866111455987725,0.01175563869567622,2326.316,322.3061,7.2177224
1-1-16 - Scan 1,healthy,1,1238770.5,16529.746172070503,1653709.5,0.7490859186574184,0.004533759568879048,1901.4894,433.4558,4.3868127
1-1-16 - Scan 2,healthy,1,1257871.0,15738.606124639511,1670360.5,0.7530536072901628,0.005078127151472408,1875.4064,428.69406,4.3746963
1-1-16 - Scan 5,healthy,1,1423255.0,15844.650719165802,1743299.0,0.816414740099088,0.005669142559955616,2026.1233,458.55176,4.418527
1-2 _ Lead 8,healthy,1,768894.5,8733.733644366264,988524.5,0.7778203777448106,0.010080147067408512,2113.213,230.27802,9.176789
1-2 _ Leaf 9,healthy,1,984015.5,9715.571299672127,1243203.5,0.791516030963555,0.010424740495813281,2240.7312,282.9109,7.920272
1-2-15 - Scan 2,healthy,1,1673212.5,19938.76968085766,2111569.5,0.792402286545624,0.004208762186967484,2293.2515,454.65723,5.043913
1-2-15 - Scan 4,healthy,1,1741496.0,19656.70366549492,2171332.5,0.8020402218453415,0.004507140539611486,2240.0017,456.13055,4.9108787
1-2-15 - Scan 5,healthy,1,1649825.0,19205.791978120804,2079059.0,0.7935440985561256,0.004472737791815579,2127.7039,438.2656,4.8548274
1-3 _ Leaf 10,healthy,1,918743.0,8991.868639469147,1190772.5,0.771552080687117,0.011363029539579496,2201.332,259.22037,8.492126
1-3 _ Leaf 9,healthy,1,702234.5,9386.732767939568,942084.0,0.7454053990939237,0.007969907004630072,2118.5132,212.93393,9.949158
1-4 _ Leaf 10,healthy,1,1340448.5,10157.654559969902,1519053.5,0.8824234959466536,0.01299161836314839,2455.4941,334.99304,7.3299856
1-4 _ Leaf 8,healthy,1,766996.0,9664.465742111206,1167487.0,0.6569632038729339,0.008211781727812803,2106.0095,244.1955,8.624277
10-1 _ Leaf 8,healthy,1,584884.5,10936.022091031075,1121289.5,0.5216177445699794,0.0048904785072625264,1418.2506,286.87994,4.943708
10-1 _ Leaf 9,healthy,1,895812.0,10972.390833616257,1382553.5,0.6479402062921977,0.007440709317305478,2209.5737,267.00293,8.275466
10-2 _ Leaf 8,healthy,1,505037.5,9881.884131550789,875631.0,0.5767697808780182,0.005171828461721857,1692.1224,205.48448,8.234795
10-2 _ Leaf 9,healthy,1,742926.0,8187.667629003525,920543.5,0.8070514864316569,0.011082178687992645,1943.2627,236.27219,8.224678
10-3 _ Leaf 8,healthy,1,944676.5,9365.595684885979,1233960.5,0.7655646189647075,0.010769915636665775,2162.0195,269.03485,8.036206
10-4 _ Leaf 10,healthy,1,1304533.5,12416.962339520454,1774040.0,0.7353461590494014,0.008461054808305486,2575.6443,333.77304,7.7167535
10-4 _ Leaf 8,healthy,1,850731.5,9884.639402985573,1169225.5,0.7276025882090323,0.008707046271644366,2272.9426,242.13045,9.387265
10-4 _ Leaf 9,healthy,1,1094802.5,9329.179383397102,1316401.5,0.831663060244158,0.012579080393738827,2207.4949,304.86813,7.2408185
2-1 _ Leaf 10,healthy,1,811610.0,9472.774398088455,1158338.5,0.7006673783181686,0.009044675721394486,1990.8844,268.97128,7.4018474
2-1 _ Leaf 8,healthy,1,688784.0,8447.186523675919,921454.0,0.7474968907834791,0.009652923894846482,1796.2626,237.04005,7.577886
2-1 _ Leaf 9,healthy,1,771882.5,8879.699154496193,1237493.0,0.6237469626090815,0.00978936880972538,1984.9165,273.68988,7.2524295
2-1-12 - Scan 1,healthy,1,1120612.5,12332.466953635216,1458899.5,0.7681217931735531,0.007368100513779225,2532.37,280.14236,9.039583
2-1-12 - Scan 3,healthy,1,1051318.5,12873.37864100933,1385743.0,0.7586677327614139,0.0063437961686896105,2555.782,282.20462,9.056485
2-1-12 - Scan 4,healthy,1,759466.0,12535.44465637207,1415238.5,0.5366346379073209,0.0048331341347459455,2596.394,236.69716,10.969266
2-1-13 - Scan 1,healthy,1,1903896.5,27602.569340586662,2552655.0,0.7458495174631903,0.0024988737584473258,2671.9824,424.3904,6.296048
2-1-13 - Scan 2,healthy,1,1826859.5,29122.187528967857,2551927.0,0.7158745136518404,0.0021540568432446964,2600.3948,401.1926,6.481662
2-1-13 - Scan 3,healthy,1,1906695.0,27517.303191184998,2551794.0,0.7471978537452475,0.0025180798032288887,2743.0173,421.03943,6.5148706
2-1-13 - Scan 4,healthy,1,2014939.5,22144.964762568474,2491476.0,0.8087332569127698,0.004108771820806722,2566.2869,440.4942,5.825927
2-1-14 - Scan 1,healthy,1,1670310.5,23356.54253232479,2204035.0,0.7578420941591217,0.003061823147334519,2362.6682,421.478,5.605674
2-1-14 - Scan 2,healthy,1,1722075.0,23394.18807029724,2255330.5,0.7635577136033943,0.0031465606561744625,2469.7153,430.68103,5.7344418
2-1-14 - Scan 4,healthy,1,1786080.5,20514.94630610943,2206756.5,0.8093690898837276,0.004243852291313436,2381.346,445.20563,5.3488674
2-1-16 - Scan 3,healthy,1,1373947.5,16642.633474230766,1715145.5,0.8010676062176649,0.004960506702882275,1967.743,442.94724,4.442387
2-1-16 - Scan 5,healthy,1,1340104.0,17237.635562181473,1713544.0,0.7820657070959368,0.0045100682522857686,1938.1874,445.9102,4.3465867
2-2 _ Leaf 10,healthy,1,1137670.5,9790.434216618538,1345644.0,0.8454468641037303,0.011868957904976093,2358.2837,297.43073,7.92885
2-2 _ Leaf 8,healthy,1,680449.0,8024.554931163788,931123.5,0.7307827586780916,0.010567047789964605,1852.595,234.42137,7.9028416
2-2 _ Leaf 9,healthy,1,945266.0,9495.05449295044,1090024.5,0.8671970217183191,0.010484774976238861,2244.0977,256.09464,8.762767
2-3 _ Leaf 10,healthy,1,1126714.5,9100.880832076073,1387133.5,0.8122610404838467,0.013603386204629923,2243.0757,311.9638,7.1901793
2-3 _ Leaf 8,healthy,1,552936.0,6715.722328186035,728412.5,0.7590973521184768,0.012259969900113295,1637.1719,217.4394,7.5293245
2-3 _ Leaf 9,healthy,1,926996.0,9456.230241775513,1096791.0,0.8451892840112656,0.010366729922302188,2188.254,259.8457,8.421359
3-1 _ Leaf 8,healthy,1,951994.5,7759.954864144325,1027014.5,0.9269533195490424,0.015809424065446238,1923.2261,300.55673,6.3988786
3-1 _ Leaf 9,healthy,1,1248549.0,8735.726504087448,1383453.0,0.9024874715657127,0.016360912936043602,2049.3074,372.22946,5.5054946
3-1-10 - Scan 1,healthy,1,1731442.5,12449.218049168587,1999803.5,0.865806315470495,0.011171819905706221,2793.2708,378.05557,7.388519
